epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1803.48,1.45995,1.15988,1.02235,0.53643,0.40629,0.40519,0.23604,1.30608,1.01161,0.9706,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406
31,1858.84,1.44568,1.13103,1.01641,0.50683,0.41267,0.40102,0.23416,1.31145,1.02825,0.97147,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
32,1916.94,1.44436,1.12437,1.01771,0.52043,0.41441,0.40382,0.2359,1.30537,1.0344,0.97021,0.0253721,0.00845736,0.0253721,0.00845736,0.0253721,0.00845736,0.0253721,0.00845736
33,1973.52,1.42537,1.11473,1.00968,0.50733,0.41467,0.40954,0.23827,1.3104,1.01382,0.96851,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
34,2034.79,1.4255,1.09304,1.0094,0.50684,0.41997,0.40467,0.23806,1.31234,1.01736,0.96941,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
35,2090.94,1.41365,1.11646,1.01119,0.51898,0.41391,0.40917,0.23988,1.30457,1.00969,0.967,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
36,2144.36,1.41748,1.09855,1.01116,0.52123,0.42093,0.41008,0.23773,1.30441,1.00163,0.96969,0.0241901,0.00806337,0.0241901,0.00806337,0.0241901,0.00806337,0.0241901,0.00806337
37,2202.16,1.44977,1.09978,1.00963,0.5264,0.41918,0.41115,0.23893,1.29687,1.01993,0.96368,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
38,2263.39,1.43837,1.09804,1.00882,0.5295,0.40792,0.40555,0.23662,1.30187,1.01816,0.96236,0.0235611,0.00785371,0.0235611,0.00785371,0.0235611,0.00785371,0.0235611,0.00785371
39,2313.38,1.4275,1.07584,1.00625,0.53078,0.42038,0.41603,0.24508,1.30292,0.99887,0.96367,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
40,2378.45,1.42187,1.09141,1.00242,0.51134,0.42081,0.41448,0.24457,1.28972,1.00305,0.96287,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
41,2432.38,1.4074,1.06974,0.99902,0.51794,0.42919,0.41892,0.24711,1.28783,0.99222,0.95988,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
42,2491.39,1.41545,1.0719,1.00058,0.51459,0.42837,0.4195,0.24811,1.28613,0.98421,0.95913,0.0222358,0.00741194,0.0222358,0.00741194,0.0222358,0.00741194,0.0222358,0.00741194
43,2555.46,1.40668,1.06505,0.99708,0.53295,0.4238,0.41891,0.24784,1.28725,0.99597,0.9569,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
44,2611.95,1.39259,1.05498,0.99686,0.52378,0.43648,0.4243,0.24959,1.28593,0.98506,0.95868,0.0215431,0.00718103,0.0215431,0.00718103,0.0215431,0.00718103,0.0215431,0.00718103
45,2686.35,1.40673,1.06362,1.00068,0.53553,0.43494,0.42757,0.25104,1.29068,0.99302,0.95818,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
46,2741.9,1.41094,1.04309,0.9967,0.54053,0.42735,0.42569,0.25127,1.28734,0.98609,0.95809,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
47,2799.75,1.3986,1.04483,0.99901,0.53351,0.42436,0.42532,0.25124,1.28947,0.99086,0.95936,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
48,2863.33,1.39089,1.03727,0.99692,0.53075,0.42978,0.42445,0.25007,1.28328,0.98498,0.95906,0.020107,0.00670234,0.020107,0.00670234,0.020107,0.00670234,0.020107,0.00670234
